layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,128,8,128,4,1,2,2048,14534.0371094,2.97697796725e-06,0,repeated_buffer
HSD,128,8,128,4,1,2,4096,6876.36328125,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,2,4096,6925.03881836,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,3,4096,6940.65356445,2.74665561051e-06,0,repeated_buffer
HSD,128,8,128,4,1,3,4096,6889.72973633,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,3,2048,14305.6030273,2.97697796725e-06,0,repeated_buffer
HSD,128,8,128,4,1,4,4096,6892.99536133,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,4,2048,14922.5869141,2.97697796725e-06,0,repeated_buffer
SHD,128,8,128,4,1,4,4096,7153.05566406,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,5,2048,14371.887207,2.97697796725e-06,0,repeated_buffer
HSD,128,8,128,4,1,5,4096,6908.24389648,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,5,4096,6912.40454102,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,6,2048,14404.3579102,2.97697796725e-06,0,repeated_buffer
SHD,128,8,128,4,1,6,4096,6947.1027832,2.74665561051e-06,0,repeated_buffer
HSD,128,8,128,4,1,6,4096,6908.3762207,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,7,4096,7077.87060547,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,7,2048,14304.8911133,2.97697796725e-06,0,repeated_buffer
HSD,128,8,128,4,1,7,4096,6895.88427734,2.74665561051e-06,0,repeated_buffer
HSD,128,8,128,4,1,8,4096,6946.67553711,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,8,4096,6913.3605957,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,8,2048,14323.9135742,2.97697796725e-06,0,repeated_buffer
HSD,128,8,128,4,1,9,4096,6879.87280273,2.74665561051e-06,0,repeated_buffer
SHD,128,8,128,4,1,9,4096,6926.15771484,2.74665561051e-06,0,repeated_buffer
DSH,128,8,128,4,1,9,2048,14300.1303711,2.97697796725e-06,0,repeated_buffer
SHD,128,32,64,16,1,0,8192,2595.54541016,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,0,8192,2452.74865723,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,0,4096,6037.94360352,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,1,4096,6060.01782227,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,1,8192,2453.125,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,1,8192,2576.2532959,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,2,8192,2454.04553223,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,2,8192,2566.04516602,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,2,4096,6101.52172852,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,3,4096,6032.57250977,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,3,8192,2452.90625,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,3,8192,2570.34802246,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,4,8192,2451.19226074,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,4,8192,2574.4831543,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,4,4096,6018.75830078,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,5,4096,6089.86401367,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,5,8192,2559.51428223,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,5,8192,2675.27258301,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,6,8192,2544.703125,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,6,8192,2633.1583252,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,6,4096,6276.33666992,1.11687002402e-06,0,repeated_buffer
DSH,128,32,64,16,1,7,4096,6028.69677734,1.11687002402e-06,0,repeated_buffer
SHD,128,32,64,16,1,7,8192,2596.04394531,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,7,8192,2473.58703613,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,8,8192,2472.97167969,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,8,8192,2635.78796387,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,8,4096,6521.60644531,1.11687002402e-06,0,repeated_buffer
