layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
HSD,8192,32,64,16,1,9,128,287796.554688,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,128,16,1,0,32,756332.03125,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,0,32,1059859.375,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,0,8,5128401,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,1,32,760130.21875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,1,8,5016979.125,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,1,32,1059889.3125,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,2,32,1075132.8125,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,2,32,757649.71875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,2,8,5021510.375,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,3,32,756898.4375,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,3,8,5001036.5,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,3,32,1069134.125,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,4,32,756699.21875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,4,8,5013067.625,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,4,32,1061449.21875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,5,8,5021359.375,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,5,32,1050302.09375,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,5,32,757832.03125,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,6,32,757567.71875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,6,8,5006802.125,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,6,32,1040342.4375,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,7,8,5002578.125,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,7,32,818177.0625,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,7,32,1043483.0625,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,8,32,763964.84375,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,8,8,5011208.375,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,8,32,1041040.34375,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,9,8,5044776,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,9,32,758281.25,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,9,32,1059940.09375,6.30243245325e-06,0,repeated_buffer
DSH,32768,1,64,0,1,0,16,2008002.625,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,0,32,1155100.25,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,0,32,1155843.75,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,1,16,1946281.25,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,1,32,1153145.84375,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,1,32,1151470.03125,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,2,32,1158282.53125,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,2,32,1152307.28125,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,2,16,1925135.375,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,3,16,1928890.625,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,3,32,1161609.375,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,3,32,1143433.59375,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,4,32,1173697.90625,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,4,32,1156679.6875,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,4,16,2022421.875,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,5,32,1152011.71875,2.81281259618e-06,0,repeated_buffer
