layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
SHD,128,32,64,16,1,7,8192,2607.01501465,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,7,8192,2448.66943359,1.08839121538e-06,0,repeated_buffer
HSD,128,32,64,16,1,8,8192,2452.95214844,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,8,8192,2606.66918945,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,8,4096,6016.83544922,1.11687002402e-06,0,repeated_buffer
HSD,128,32,64,16,1,9,8192,2458.12487793,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,9,8192,2567.45910645,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,9,4096,6015.44189453,1.11687002402e-06,0,repeated_buffer
DSH,128,32,128,16,1,0,2048,13646.0571289,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,0,4096,6936.01489258,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,0,4096,6916.73779297,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,1,4096,7375.51879883,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,1,2048,13534.953125,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,1,4096,7016.35742188,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,2,4096,6974.26367188,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,2,4096,6948.20166016,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,2,2048,13932.71875,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,3,4096,6902.29296875,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,3,2048,13735.7177734,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,3,4096,7024.34277344,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,4,4096,6869.140625,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,4,2048,13667.4804688,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,4,4096,6980.3059082,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,5,4096,6936.98120117,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,5,2048,14084.1064453,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,5,4096,6970.14355469,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,6,2048,13567.2807617,2.61721359607e-06,0,repeated_buffer
