run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run1,1024,8,128,4,1,SHD,10,55.6511640625,55.515015136725005,55.73870800785,1.0072734931717466
Run1,1024,32,64,16,1,DSH,10,80.57901953125,79.281575195325,82.24878124995001,4.072600182621357
Run1,1024,32,64,16,1,HSD,10,19.78564453125,19.71642089845,19.936218505825,1.0
Run1,1024,32,64,16,1,SHD,10,21.051310058600002,20.9388330078,21.276072753900003,1.0639688803339702
Run1,1024,32,128,16,1,DSH,10,375.8317109375,365.5102578125,384.4116171875,6.780033860383176
Run1,1024,32,128,16,1,HSD,10,55.43212890625,55.344359375,55.60618164065,1.0
Run1,1024,32,128,16,1,SHD,10,74.46557617185,74.27722167972499,75.102704101525,1.3433648975991968
Run1,8192,1,64,0,1,DSH,10,674.240875,673.11621875,674.815109375,4.283860529133581
Run1,8192,1,64,0,1,HSD,10,157.3909492185,157.24853515625,157.94694140625,1.0
Run1,8192,1,64,0,1,SHD,10,157.426105469,157.277101563,157.68033789100002,1.000223368946401
Run1,8192,1,128,0,1,DSH,10,975.60221875,969.787125,981.89290625,2.2033227793801506
Run1,8192,1,128,0,1,HSD,10,442.7867890625,441.64761328125,443.57795703125,1.0
Run1,8192,1,128,0,1,SHD,10,444.1979140625,443.0410234375,444.703609375,1.003186917574907
Run1,8192,8,64,4,1,DSH,10,746.778,739.959640625,753.4804765625,4.737893024206789
Run1,8192,8,64,4,1,HSD,10,157.6181640625,157.2720546875,159.39843945325,1.0
Run1,8192,8,64,4,1,SHD,10,161.2008476565,160.752441406,161.7543124995,1.0227301441766532
Run1,8192,8,128,4,1,DSH,10,2207.78125,2174.055359375,2359.40428125,4.980733049850529
Run1,8192,8,128,4,1,HSD,10,443.2643203125,442.54996875,444.37939453125,1.0
Run1,8192,8,128,4,1,SHD,10,466.7233125,462.73111328125003,470.80225,1.0529232584543722
Run1,8192,32,64,16,1,DSH,10,2304.33334375,2266.09959375,2315.1608125000002,14.6308392127732
Run1,8192,32,64,16,1,HSD,10,157.498371094,157.19474609374998,157.73738476600002,1.0
Run1,8192,32,64,16,1,SHD,10,168.016273437,167.54174609400002,168.22965429725,1.0667810230032322
Run1,8192,32,128,16,1,DSH,10,4348.61975,4323.8072812499995,4373.962187499999,9.822757273587213
Run1,8192,32,128,16,1,HSD,10,442.7086640625,440.80746093749997,443.63996875,1.0
Run1,8192,32,128,16,1,SHD,10,659.353515625,629.91503125,701.4716796875,1.4893621226530025
Run1,32768,1,64,0,1,DSH,10,2005.1953125,1997.59053125,2037.4759375,3.13329614208739
Run1,32768,1,64,0,1,HSD,10,639.963546875,638.8561171875,640.584328125,1.0
Run1,32768,1,64,0,1,SHD,10,639.58071875,637.6894453125,643.143890625,0.9994017969822353
Run1,32768,1,128,0,1,DSH,10,4636.21875,4628.1536875,4654.1419375000005,2.581570818475701
Run1,32768,1,128,0,1,HSD,10,1795.8905937499999,1786.660171875,1801.067703125,1.0
Run1,32768,1,128,0,1,SHD,10,1793.51690625,1788.8665156250001,1803.72396875,0.9986782672016543
Run1,32768,8,64,4,1,DSH,10,5747.0,5702.7890625,5776.20825,8.994904172361114
Run1,32768,8,64,4,1,HSD,10,638.9173125,637.9921875,642.6428984375,1.0
Run1,32768,8,64,4,1,SHD,10,677.338546875,676.6123046875,679.094734375,1.0601349088893253
Run1,32768,8,128,4,1,DSH,10,15942.75,15912.359125,16086.2345,8.920294616191091
Run1,32768,8,128,4,1,HSD,10,1787.24478125,1784.787140625,1790.0208125,1.0
Run1,32768,8,128,4,1,SHD,10,2428.9075625,2409.184234375,2459.9641874999998,1.3590234465819622
Run1,32768,32,64,16,1,DSH,10,8235.104125,8035.809875,9644.802062499999,12.795668833515606
Run1,32768,32,64,16,1,HSD,10,643.58528125,640.0205234375,660.6839140625,1.0
Run1,32768,32,64,16,1,SHD,10,698.028640625,693.61425,716.6103671875,1.0845938540876163
Run1,32768,32,128,16,1,DSH,10,17561.302,17462.58325,19564.5415,9.722688351009532
